prdy_vrss,prdy_vrss_sign,prdy_ctrt,stck_prdy_clpr,acml_vol,acml_tr_pbmn,hts_kor_isnm,stck_prpr,stck_bsop_date,stck_cntg_hour,stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol,acml_tr_pbmn
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090000,7820,7820,7820,7820,191,1493620
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090100,7820,7820,7820,7820,100,2275620
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090200,7820,7820,7820,7820,61,2752640
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090300,7820,7820,7820,7820,100,3534640
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090400,7820,7820,7820,7820,5,3573740
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090500,7820,7820,7820,7820,0,3573740
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090600,7820,7820,7820,7820,0,3573740
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090700,7800,7810,7810,7800,252,5541340
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090800,7790,7790,7790,7790,111,6406030
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,090900,7800,7800,7800,7800,5,6445030
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091000,7800,7800,7800,7800,0,6445030
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091100,7800,7800,7800,7800,0,6445030
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091200,7780,7780,7780,7780,30,6678430
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091300,7810,7800,7810,7780,1082,15107750
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091400,7800,7800,7800,7800,7,15162350
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091500,7800,7800,7800,7800,0,15162350
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091600,7780,7800,7800,7780,767,21130370
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091700,7780,7780,7780,7780,0,21130370
60,2,0.77,7840,66656,521993940,현대에이치티,7900,20230412,091800,7770,7770,7770,7770,113,22008380
