corp_code,corp_name,stock_code,report_nm,rcept_no,rcept_dt,time,호재성
799070,이스트아시아홀딩스,900110,사업보고서 (2022.12),2.02304E+13,20230428,11:41,TRUE
1160512,헝셩그룹,900270,사업보고서 (2022.12),2.02304E+13,20230428,10:52,FALSE
1139266,로스웰,900260,사업보고서 (2022.12),2.02304E+13,20230427,16:18,FALSE
1169434,오가닉티코스메틱,900300,사업보고서 (2022.12),2.02304E+13,20230428,15:20,FALSE
1236286,컬러레이,900310,사업보고서 (2022.12),2.02304E+13,20230428,16:00,FALSE
1328639,윙입푸드,900340,사업보고서 (2022.12),2.02304E+13,20230412,16:42,FALSE
128546,삼천당제약,250,사업보고서 (2022.12),2.02303E+13,20230321,15:09,TRUE
149770,중앙에너비스,440,사업보고서 (2022.12),2.02303E+13,20230317,16:46,TRUE
135999,신라섬유,1000,사업보고서 (2022.12),2.02303E+13,20230303,17:27,TRUE
139205,안국약품,1540,사업보고서 (2022.12),2.02303E+13,20230322,18:58,TRUE
139205,안국약품,1540,[기재정정]사업보고서 (2021.12),2.02303E+13,20230322,18:58,TRUE
121507,무림SP,1810,사업보고서 (2022.12),2.02303E+13,20230320,17:27,TRUE
145668,이화공영,1840,사업보고서 (2022.12),2.02303E+13,20230320,13:14,TRUE
155638,피에스텍,2230,사업보고서 (2022.12),2.02303E+13,20230321,17:01,TRUE
127936,삼일기업공사,2290,사업보고서 (2022.12),2.02303E+13,20230323,14:49,FALSE
136448,신신제약,2800,사업보고서 (2022.12),2.02303E+13,20230315,15:58,FALSE
112457,대주산업,3310,사업보고서 (2022.12),2.02303E+13,20230320,17:20,FALSE
148364,하림지주,3380,사업보고서 (2022.12),2.02303E+13,20230329,17:52,FALSE
140052,에이스침대,3800,사업보고서 (2022.12),2.02303E+13,20230308,14:49,TRUE
156442,한국가구,4590,사업보고서 (2022.12),2.02303E+13,20230315,11:06,TRUE
123523,창해에탄올,4650,사업보고서 (2022.12),2.02303E+13,20230321,17:05,FALSE
109587,대륙제관,4780,사업보고서 (2022.12),2.02303E+13,20230316,15:42,FALSE
172680,동국산업,5160,사업보고서 (2022.12),2.02303E+13,20230321,16:50,TRUE
118804,동진쎄미켐,5290,사업보고서 (2022.12),2.02303E+13,20230316,16:20,TRUE
165103,푸드웰,5670,사업보고서 (2022.12),2.02303E+13,20230308,15:03,TRUE
162911,한일사료,5860,사업보고서 (2022.12),2.02303E+13,20230308,15:46,FALSE
120924,매일홀딩스,5990,사업보고서 (2022.12),2.02303E+13,20230323,16:43,TRUE
104537,국영지앤엠,6050,사업보고서 (2022.12),2.02303E+13,20230320,16:20,TRUE
155735,피제이전자,6140,사업보고서 (2022.12),2.02303E+13,20230317,18:38,TRUE
111227,대양제지,6580,사업보고서 (2022.12),2.02303E+13,20230322,16:06,FALSE
114686,동구바이오제약,6620,사업보고서 (2022.12),2.02303E+13,20230320,17:07,TRUE
130383,서부T&D,6730,사업보고서 (2022.12),2.02303E+13,20230320,15:32,FALSE
267881,보성파워텍,6910,사업보고서 (2022.12),2.02303E+13,20230323,18:01,FALSE
163318,모헨즈,6920,사업보고서 (2022.12),2.02303E+13,20230316,16:39,TRUE
150536,진양제약,7370,사업보고서 (2022.12),2.02303E+13,20230314,16:57,TRUE
117276,네이처셀,7390,사업보고서 (2022.12),2.02303E+13,20230323,16:21,TRUE
104810,대명소노시즌,7720,사업보고서 (2022.12),2.02303E+13,20230323,15:21,TRUE
137915,에스엠코어,7820,사업보고서 (2022.12),2.02303E+13,20230321,16:38,TRUE
124276,부스타,8470,사업보고서 (2022.12),2.02303E+13,20230317,16:50,TRUE
109310,대동기어,8830,사업보고서 (2022.12),2.02303E+13,20230314,13:15,TRUE
126788,삼아제약,9300,사업보고서 (2022.12),2.02303E+13,20230322,18:59,FALSE
128111,포스코엠텍,9520,[기재정정]사업보고서 (2022.12),2.02303E+13,20230320,17:42,FALSE
128111,포스코엠텍,9520,[기재정정]사업보고서 (2022.12),2.02303E+13,20230317,16:40,FALSE
128111,포스코엠텍,9520,사업보고서 (2022.12),2.02303E+13,20230313,17:24,FALSE
121154,엠에스씨,9780,사업보고서 (2022.12),2.02303E+13,20230323,14:31,FALSE
113261,대한광통신,10170,사업보고서 (2022.12),2.02303E+13,20230316,17:35,TRUE
138303,쌍용정보통신,10280,사업보고서 (2022.12),2.02303E+13,20230321,17:43,FALSE
141671,오리콤,10470,[기재정정]사업보고서 (2022.12),2.02307E+13,20230718,16:10,TRUE
141671,오리콤,10470,사업보고서 (2022.12),2.02303E+13,20230321,18:22,TRUE
101549,경동제약,11040,사업보고서 (2022.12),2.02303E+13,20230322,16:11,FALSE
142713,형지I&C,11080,사업보고서 (2022.12),2.02303E+13,20230323,16:15,FALSE
133876,세보엠이씨,11560,사업보고서 (2022.12),2.02303E+13,20230322,16:27,FALSE
105040,뉴인텍,12340,사업보고서 (2022.12),2.02303E+13,20230317,14:42,TRUE
143907,원일특강,12620,사업보고서 (2022.12),2.02303E+13,20230314,14:45,TRUE
137058,신일제약,12790,사업보고서 (2022.12),2.02303E+13,20230317,16:27,FALSE
137234,모베이스전자,12860,[기재정정]사업보고서 (2022.12),2.02307E+13,20230721,16:34,TRUE
137234,모베이스전자,12860,사업보고서 (2022.12),2.02303E+13,20230329,19:34,TRUE
165060,하이록코리아,13030,[기재정정]사업보고서 (2022.12),2.02303E+13,20230320,17:58,FALSE
165060,하이록코리아,13030,사업보고서 (2022.12),2.02303E+13,20230309,17:24,FALSE
151605,CBI,13720,[기재정정]사업보고서 (2022.12),2.02303E+13,20230315,17:22,FALSE
151605,CBI,13720,사업보고서 (2022.12),2.02303E+13,20230315,17:22,FALSE
136165,스페코,13810,사업보고서 (2022.12),2.02303E+13,20230321,17:44,TRUE
138446,아가방컴퍼니,13990,사업보고서 (2022.12),2.02303E+13,20230323,14:21,TRUE
267854,메디앙스,14100,사업보고서 (2022.12),2.02303E+13,20230321,17:56,TRUE
128175,원익큐브,14190,사업보고서 (2022.12),2.02303E+13,20230320,17:56,FALSE
103015,고려제약,14570,사업보고서 (2022.12),2.02303E+13,20230309,17:38,TRUE
132318,성광벤드,14620,사업보고서 (2022.12),2.02303E+13,20230321,14:43,TRUE
141608,오리엔탈정공,14940,사업보고서 (2022.12),2.02303E+13,20230320,10:59,FALSE
125488,삼륭물산,14970,사업보고서 (2022.12),2.02303E+13,20230321,16:02,TRUE
187725,코콤,15710,사업보고서 (2022.12),2.02303E+13,20230321,17:59,TRUE
132992,성우하이텍,15750,사업보고서 (2022.12),2.02303E+13,20230322,15:59,FALSE
180263,리더스코스메틱,16100,사업보고서 (2022.12),2.02303E+13,20230321,17:42,FALSE
152260,카스,16920,사업보고서 (2022.12),2.02303E+13,20230321,15:09,TRUE
136925,신원종합개발,17000,사업보고서 (2022.12),2.02303E+13,20230317,17:29,FALSE
145914,인터엠,17250,[기재정정]사업보고서 (2022.09),2.02301E+13,20230113,16:25,TRUE
145914,인터엠,17250,사업보고서 (2022.09),2.02301E+13,20230106,09:30,TRUE
128926,삼현철강,17480,사업보고서 (2022.12),2.02303E+13,20230308,14:25,TRUE
133751,세명전기,17510,사업보고서 (2022.12),2.02303E+13,20230314,14:08,FALSE
109781,대림제지,17650,사업보고서 (2022.12),2.02303E+13,20230323,14:11,TRUE
158565,한국알콜,17890,사업보고서 (2022.12),2.02303E+13,20230320,15:21,FALSE
144243,유니슨,18000,사업보고서 (2022.12),2.02303E+13,20230323,17:57,FALSE
170877,진로발효,18120,사업보고서 (2022.12),2.02303E+13,20230317,17:06,FALSE
125646,삼목에스폼,18310,사업보고서 (2022.12),2.02303E+13,20230322,15:49,TRUE
103547,우진비앤지,18620,사업보고서 (2022.12),2.02303E+13,20230321,15:59,TRUE
131018,서울제약,18680,사업보고서 (2022.12),2.02303E+13,20230322,16:27,TRUE
267906,베뉴지,19010,사업보고서 (2022.12),2.02303E+13,20230321,17:57,TRUE
146560,일지테크,19540,사업보고서 (2022.12),2.02303E+13,20230316,15:52,TRUE
159731,글로본,19660,사업보고서 (2022.12),2.02303E+13,20230321,16:32,TRUE
153278,서연탑메탈,19770,[기재정정]사업보고서 (2022.12),2.02303E+13,20230331,10:16,FALSE
153278,서연탑메탈,19770,사업보고서 (2022.12),2.02303E+13,20230315,16:20,FALSE
169215,에너토크,19990,사업보고서 (2022.12),2.02303E+13,20230316,18:07,FALSE
170026,시공테크,20710,사업보고서 (2022.12),2.02303E+13,20230321,15:54,FALSE
166175,대호특수강,21040,사업보고서 (2022.12),2.02303E+13,20230321,10:05,FALSE
161462,에이티넘인베스트,21080,사업보고서 (2022.12),2.02303E+13,20230314,17:07,FALSE
105466,KCC건설,21320,사업보고서 (2022.12),2.02303E+13,20230316,17:09,TRUE
160010,한국큐빅,21650,사업보고서 (2022.12),2.02303E+13,20230321,09:30,TRUE
140061,TKG애강,22220,사업보고서 (2022.12),2.02303E+13,20230320,16:54,FALSE
148531,제이스코홀딩스,23440,사업보고서 (2022.12),2.02303E+13,20230321,17:29,TRUE
149266,CNH,23460,사업보고서 (2022.12),2.02303E+13,20230324,08:56,TRUE
125938,삼보판지,23600,[기재정정]사업보고서 (2022.12),2.02307E+13,20230711,14:13,TRUE
125938,삼보판지,23600,사업보고서 (2022.12),2.02303E+13,20230321,11:25,TRUE
138367,플레이위드,23770,사업보고서 (2022.12),2.02303E+13,20230321,15:46,FALSE
155452,풍국주정,23900,사업보고서 (2022.12),2.02303E+13,20230321,17:16,TRUE
113128,대한약품,23910,사업보고서 (2022.12),2.02303E+13,20230317,16:53,FALSE
167004,흥구석유,24060,사업보고서 (2022.12),2.02303E+13,20230316,14:09,TRUE
157539,KB오토시스,24120,사업보고서 (2022.12),2.02303E+13,20230322,15:58,TRUE
162832,한일단조,24740,사업보고서 (2022.12),2.02303E+13,20230321,13:45,TRUE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2022.12),2.02307E+13,20230712,16:17,TRUE
173999,유성티엔에스,24800,사업보고서 (2022.12),2.02303E+13,20230321,17:52,TRUE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2021.12),2.02303E+13,20230317,17:09,TRUE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2020.12),2.02303E+13,20230317,17:09,FALSE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2019.12),2.02303E+13,20230315,16:36,FALSE
173999,유성티엔에스,24800,[기재정정]사업보고서 (2018.12),2.02303E+13,20230315,16:36,TRUE
145738,이화전기,24810,사업보고서 (2022.12),2.02303E+13,20230323,17:12,FALSE
173591,세원물산,24830,사업보고서 (2022.12),2.02303E+13,20230322,15:41,FALSE
158024,KBI메탈,24840,사업보고서 (2022.12),2.02303E+13,20230322,15:38,TRUE
157636,케이피에프,24880,사업보고서 (2022.12),2.02303E+13,20230321,18:05,TRUE
102353,경창산업,24910,사업보고서 (2022.12),2.02303E+13,20230322,15:15,TRUE
133557,PN풍년,24940,사업보고서 (2022.12),2.02303E+13,20230317,16:28,TRUE
128607,삼천리자전거,24950,사업보고서 (2022.12),2.02303E+13,20230309,10:35,TRUE
203023,시노펙스,25320,사업보고서 (2022.12),2.02303E+13,20230317,17:22,TRUE
158015,한국선재,25550,사업보고서 (2022.12),2.02303E+13,20230316,18:16,TRUE
159342,한국정보통신,25770,사업보고서 (2022.12),2.02303E+13,20230316,13:52,FALSE
136004,신라에스지,25870,사업보고서 (2022.12),2.02303E+13,20230315,16:30,FALSE
101752,케이씨피드,25880,사업보고서 (2022.12),2.02303E+13,20230313,16:46,FALSE
116408,동신건설,25950,사업보고서 (2022.12),2.02303E+13,20230317,17:07,TRUE
161781,아난티,25980,사업보고서 (2022.12),2.02303E+13,20230321,15:21,TRUE
120289,제이에스티나,26040,사업보고서 (2022.12),2.02303E+13,20230321,14:11,FALSE
186939,특수건설,26150,[기재정정]사업보고서 (2022.12),2.02303E+13,20230324,16:29,TRUE
186939,특수건설,26150,사업보고서 (2022.12),2.02303E+13,20230324,16:29,TRUE
104120,광진실업,26910,사업보고서 (2022.12),2.02303E+13,20230317,17:03,TRUE
1210190,모비릭스,348030,사업보고서 (2022.12),2.02303E+13,20230315,16:41,FALSE
1399071,고바이오랩,348150,사업보고서 (2022.12),2.02303E+13,20230321,17:07,FALSE
1080252,넥스틴,348210,사업보고서 (2022.12),2.02303E+13,20230317,14:24,FALSE
1336461,뉴로메카,348340,사업보고서 (2022.12),2.02303E+13,20230322,15:54,FALSE
1011526,엔켐,348370,사업보고서 (2022.12),2.02303E+13,20230323,20:02,FALSE
